id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
push-up-001,Push-Up,Strength,None (bodyweight),Chest,Compound,"Chest, Triceps, Shoulders, Core","Start in a high plank with hands slightly wider than shoulder-width. Keep your body in a straight line from head to heels. Lower your chest toward the floor by bending your elbows, then press through your palms to return to the starting position. Keep your core braced throughout."
squat-002,Bodyweight Squat,Strength,None (bodyweight),Legs,Compound,"Quadriceps, Glutes, Hamstrings, Core",Stand with feet shoulder-width apart and toes slightly turned out. Push your hips back and bend your knees to lower until your thighs are parallel to the floor or as low as comfortable. Keep your chest up and knees tracking over your toes. Drive through your heels to stand back up.
plank-003,Plank,Strength,None (bodyweight),Core,Isometric,"Core, Shoulders, Glutes",Place your forearms on the floor with elbows under shoulders and legs extended behind you. Lift your body so only your forearms and toes touch the ground. Keep your body straight and avoid letting your hips sag. Hold for the desired time while breathing steadily.
lunges-004,Forward Lunge,Strength,None (bodyweight),Legs,Compound,"Quadriceps, Glutes, Hamstrings, Calves",Stand tall with feet hip-width apart. Step forward with one leg and lower your back knee toward the floor until both knees are bent about 90 degrees. Keep your torso upright and front knee aligned over your foot. Push through the front heel to return to standing.
jumping-jacks-005,Jumping Jacks,Cardio,None (bodyweight),Full Body,Compound,"Shoulders, Quadriceps, Calves, Glutes, Core",Stand upright with feet together and arms at your sides. Jump your feet out while raising your arms overhead. Jump back to the starting position. Continue at a steady pace for the desired duration.
burpee-006,Burpee,Cardio,None (bodyweight),Full Body,Compound,"Chest, Shoulders, Quadriceps, Glutes, Core","Stand upright, then squat down and place your hands on the floor. Jump or step your feet back into a plank, perform a push-up if desired, then jump or step your feet forward. Explosively jump upward to finish the repetition."
mountain-climber-007,Mountain Climber,Cardio,None (bodyweight),Core,Compound,"Core, Shoulders, Hip Flexors, Quadriceps","Begin in a high plank position with hands under shoulders. Drive one knee toward your chest, then quickly switch legs in a running motion. Keep your hips low and your core tight. Continue alternating at a controlled pace."
glute-bridge-008,Glute Bridge,Strength,None (bodyweight),Glutes,Isolation,"Glutes, Hamstrings, Core","Lie on your back with knees bent and feet flat on the floor about hip-width apart. Brace your core and squeeze your glutes to lift your hips until your body forms a straight line from shoulders to knees. Pause briefly at the top, then lower under control."
side-plank-009,Side Plank,Strength,None (bodyweight),Core,Isometric,"Obliques, Core, Shoulders, Glutes","Lie on your side with your forearm on the floor beneath your shoulder. Stack your feet or stagger them for balance, then lift your hips so your body forms a straight line. Keep your torso aligned and hold for time before switching sides."
pull-up-010,Pull-Up,Strength,Pull-Up Bar,Back,Compound,"Latissimus Dorsi, Biceps, Rear Deltoids, Rhomboids, Core",Grip the bar with hands slightly wider than shoulder-width and hang with arms fully extended. Engage your shoulder blades and pull your chest toward the bar. Lower yourself slowly back to the start. Avoid swinging or kipping unless performing a specific variation.
dumbbell-bench-press-011,Dumbbell Bench Press,Strength,"Dumbbells, Bench",Chest,Compound,"Chest, Triceps, Shoulders",Lie on a flat bench with a dumbbell in each hand at chest level. Press the weights upward until your arms are extended without locking out forcefully. Lower the dumbbells slowly until your elbows are just below bench level. Keep your feet planted and shoulders stable.
