question,document
What is the recommended way to begin the course and organize my study each week?,04919992b3
Which course resources should I open first if I want to follow the material properly?,04919992b3
"How do the lectures, notebooks, and homework usually fit together during a typical week?",04919992b3
Where can I find the deadlines and submit my homework answers?,04919992b3
"Can I start the course at any time, and does the homework use the same data as the lessons?",04919992b3
"I signed up for the LLM Zoomcamp, but I still have not received any email confirmation. Should I be worried, or is no confirmation needed?",977bf7786c
"Do I need to wait for an acceptance message before I can begin the course and turn in homework, or can I start right away?",977bf7786c
"Is there some official enrollment list that my homework submissions are checked against, or is that not used in this course?",977bf7786c
What is the purpose of the course registration if students are allowed to join and submit work without being verified first?,977bf7786c
"If I already completed the sign-up form, does that mean I am officially in the course, even if I never got any email back?",977bf7786c
"If I take the class on my own schedule instead of with a cohort, am I still eligible for a certificate at the end?",69d122f12e
"Do students who study the material asynchronously receive any certificate, or is that only for the live run of the course?",69d122f12e
Why is a certificate not available for someone who completes the course outside the scheduled cohort?,69d122f12e
What requirement related to reviewing capstone projects prevents certificates from being issued in self-paced mode?,69d122f12e
Is it possible to complete the assignments later and still get credit for the certificate once the course period has ended?,69d122f12e
"I found this course late — is it still okay to start now, and what would I need to do if I want a certificate?",74eb249bbf
"Can I enroll after the course has already begun, or is joining only possible at the start?",74eb249bbf
"If I’m joining the course late, will I still be eligible for the certificate as long as I complete the project on time?",74eb249bbf
What is the deadline condition for getting a certificate if I signed up after the course started?,74eb249bbf
"Is late registration allowed for this course, and does certification depend on turning in the project before submissions close?",74eb249bbf
How can I locate my own entry on the course leaderboard if I cannot find my name at first glance?,c2903069a0
"What is the random name shown when a new account is created, and can I change it later?",c2903069a0
Where do I check the display name that appears for my course profile?,c2903069a0
Which profile field should I edit if I want to use my Slack or GitHub handle instead of my current nickname?,c2903069a0
What name needs to be entered for the certificate so that it matches my official identification?,c2903069a0
How do students join the Office Hours or live workshop stream if the Zoom room is not shared with everyone?,489dd1c9d9
Where should I look for the live session video or stream link before an Office Hours event starts?,489dd1c9d9
"If I want to ask a question during the live workshop, what is the proper place to send it instead of using the chat?",489dd1c9d9
"Can participants watch the workshop live on YouTube, and where is that channel linked?",489dd1c9d9
Why should I avoid posting my questions directly in the live chat during Office Hours?,489dd1c9d9
When is the next time this course will run?,bd31146b0e
What term or year is planned for the next offering of this course?,bd31146b0e
Do you know the upcoming session date for this course?,bd31146b0e
In which season and year will the course be available again?,bd31146b0e
Can you tell me when the course is scheduled to return?,bd31146b0e
How can I tell whether a homework assignment is actually finalized and safe to start?,96286b4be4
What does it mean when a homework title has a draft label in it?,96286b4be4
Why might the instructions or tasks for an assignment change after it has been posted?,96286b4be4
When is it considered okay to begin working on a homework exercise without risking later changes?,96286b4be4
What conditions need to be met before I should assume a homework version will no longer be updated?,96286b4be4
"If I skip an early homework assignment, am I still eligible for the course certificate as long as I complete the final project?",9f689c185f
"Is the Capstone project the only required part for receiving the certificate, or do I also have to submit all homework?",9f689c185f
"How important are homework assignments for certification in this course, and are they mainly for practice instead of being required?",9f689c185f
"Do homework points affect certificate eligibility, or do they only influence the leaderboard standings?",9f689c185f
"If I miss one or more homeworks, can I still finish the course successfully by completing the Capstone project?",9f689c185f
How do I keep up with the current LLM Zoomcamp schedule and homework assignments?,20c5a1347e
Is there a central place to check deadlines and monitor my progress in this course?,20c5a1347e
What site should I use to follow the course structure for my cohort?,20c5a1347e
Where can I find the official course page for all LLM Zoomcamp updates and tasks?,20c5a1347e
"Do I need a separate system to track homework and deadlines, or is everything available in one course portal?",20c5a1347e
"Do we have a separate live class or office-hour meeting for every module, or are the lessons mainly pre-recorded and posted in the repo?",d65e05bd7a
"If I get stuck on a topic, where should I ask for help and are there any rules I should follow when posting questions?",d65e05bd7a
"How are live meetings for this course scheduled, and will I be notified only when a session is actually happening?",d65e05bd7a
"Is there an optional paid support community with regular Zoom help sessions, even though the main course stays free?",d65e05bd7a
"Where can I find the module materials, and should I expect extra live support by default for each part of the course?",d65e05bd7a
What is the Telegram link for the LLM Zoomcamp channel used for announcements?,054f3fd58f
Where can I find the course Telegram group for LLM Zoomcamp?,054f3fd58f
Which channel should I join to receive LLM Zoomcamp announcements?,054f3fd58f
"Is there a Telegram channel for the course, and what is its URL?",054f3fd58f
Should technical questions go to the Telegram channel or to Slack?,054f3fd58f
Why is the FAQ data count different from what is shown in the course videos?,e2d595f23c
"If I run the notebook now, why do I get a different number of FAQ entries than in the lecture?",e2d595f23c
"Does the FAQ dataset stay fixed, or can its contents change over time?",e2d595f23c
Why might some questions be missing from the FAQ file compared with the recording?,e2d595f23c
What explains the mismatch between the dataset size in the videos and the size I see when I load it today?,e2d595f23c
"If the homework deadline has already passed but the upload form is still available, am I allowed to turn in my answers?",a9353fadfe
"Does the deadline itself block late homework submissions, or is it the form closing that matters?",a9353fadfe
Can I still send in an assignment after the due date as long as the submission page remains open?,a9353fadfe
At what point do homework submissions become impossible: when the date expires or when the form is closed?,a9353fadfe
"If I missed the listed deadline, should I still submit my homework when the form is open?",a9353fadfe
Where should I start if I want to find the course materials and lecture links for this class?,31456f4b5f
How can I locate the videos for each lesson without relying on a playlist?,31456f4b5f
Is there a central place I should check first for updated course content and recordings?,31456f4b5f
"In the lesson folders, where are the related videos usually placed?",31456f4b5f
Should I use the video playlist or the repository as my main source for this course?,31456f4b5f
"Is it possible to turn in a homework assignment after the due date has passed, or ask for extra time?",cdc3b285e5
"If I miss a homework, will that stop me from getting the course certificate?",cdc3b285e5
"Do homework grades matter for certification, or are they only used for ranking on the leaderboard?",cdc3b285e5
When does homework submission actually close if the deadline has already passed but the form is still open?,cdc3b285e5
Can I still appear on the leaderboard even if I skip one or more homework assignments?,cdc3b285e5
Does posting on Bluesky count toward the learning-in-public credit requirement?,dbf5369006
Am I allowed to use a Bluesky update as one of my public learning credits?,dbf5369006
Can Bluesky activity be submitted for the course's learn-in-public points?,dbf5369006
Will a post I make on Bluesky be accepted for learning in public credit?,dbf5369006
Is Bluesky an approved platform for earning public learning credits in this course?,dbf5369006
"If I enter my real name for the certificate, will it be visible to everyone or sent to outside parties?",651ba06b34
"What name is shown on the public leaderboard, and is it the same as the one printed on the certificate?",651ba06b34
Can I keep my real identity off the leaderboard while still using it on the certificate?,651ba06b34
"In the course profile settings, what is the difference between the first name field and the second one?",651ba06b34
"Is the certificate name ever used as the public display name, or are they kept separate?",651ba06b34
Why does the course make us implement the main RAG components ourselves instead of starting with a framework like LangChain?,b7cdde6b25
"What is the benefit of learning prompting, retrieval, indexing, and evaluation before relying on higher-level libraries?",b7cdde6b25
Is the idea to understand the underlying building blocks first and only then use tools such as LangChain?,b7cdde6b25
How does this teaching approach compare to learning web basics before moving on to React or Angular?,b7cdde6b25
"What does LangChain add on top of the fundamentals, and why is that not the first thing taught in this module?",b7cdde6b25
"Why does the OpenAI `responses.create` call fail with an API error, and what does the message mean?",f5df151c59
What could cause an insufficient credits error when I run `responses.create` in the OpenAI API?,f5df151c59
"If I get an OpenAI API error saying I have no credits left, what should I check first?",f5df151c59
Is there a known reason the `responses.create` command returns an insufficient credits message?,f5df151c59
"When using OpenAI responses in the RAG module, what account issue can trigger this error?",f5df151c59
