id,question
push-up-001,How do I perform a push-up with proper form?
push-up-001,Which muscles does a push-up work?
squat-002,How can I make sure my knees stay aligned over my toes during bodyweight squats?
squat-002,How low should I go in a bodyweight squat while keeping proper form?
plank-003,How long should I hold a plank as a beginner?
plank-003,What should I do if my hips sag during a plank?
lunges-004,How do I keep my front knee from caving inward during forward lunges?
lunges-004,What muscles should I feel working when doing bodyweight forward lunges?
jumping-jacks-005,How do I do jumping jacks with proper form?
jumping-jacks-005,What muscles do jumping jacks work?
burpee-006,How do I perform a burpee with proper form and safe technique?
burpee-006,What muscles does a burpee work and how can I make it easier or harder?
mountain-climber-007,How do I do mountain climbers with good form?
mountain-climber-007,What muscles do mountain climbers work?
glute-bridge-008,How do I perform a glute bridge with proper form to target my glutes?
glute-bridge-008,What should I focus on to make sure my glute bridge works my glutes and not my lower back?
side-plank-009,How do I do a side plank with proper form?
side-plank-009,What muscles does the side plank work?
pull-up-010,How do I perform a pull-up with proper form and avoid swinging?
pull-up-010,Which muscles does a pull-up work and how should I grip the bar?
dumbbell-bench-press-011,How do I perform a dumbbell bench press with proper form?
dumbbell-bench-press-011,What muscles does the dumbbell bench press work?
barbell-back-squat-012,How do I keep my knees from caving in during barbell back squats?
barbell-back-squat-012,What stance width and bar position should I use for a proper barbell back squat?
romanian-deadlift-013,How do I keep my back neutral during a Romanian deadlift with a barbell?
romanian-deadlift-013,How low should I lower the bar in a Romanian deadlift to properly work the hamstrings?
shoulder-press-014,How do I perform a dumbbell shoulder press with proper form?
shoulder-press-014,What muscles does the dumbbell shoulder press work?
bicep-curl-015,How do I perform a dumbbell bicep curl with proper form?
bicep-curl-015,How can I avoid swinging my body when doing dumbbell bicep curls?
tricep-extension-016,How do I perform an overhead triceps extension with a dumbbell correctly?
tricep-extension-016,"What muscles does the overhead triceps extension work, and how can I keep my form safe?"
lat-pulldown-017,How do I perform a lat pulldown with proper form to target my back muscles?
lat-pulldown-017,What are common mistakes to avoid when doing the lat pulldown machine exercise?
seated-row-018,How do I keep my lower back from rounding during seated cable rows?
seated-row-018,Should I lean back at all when pulling the handle on the seated cable row?
leg-press-019,How do I set up and perform the leg press with proper form?
leg-press-019,What should I focus on to avoid knee or lower-back strain during the leg press?
leg-extension-020,How do I do the leg extension machine exercise with proper form?
leg-extension-020,"What muscles does the leg extension work, and how should I set up the machine?"
hamstring-curl-021,How do I properly perform a lying hamstring curl on the machine?
hamstring-curl-021,What should I focus on to make sure I’m targeting my hamstrings during a lying hamstring curl?
calf-raise-022,How do I perform the standing calf raise with proper form on a machine?
calf-raise-022,What muscles does the standing calf raise work?
chest-press-machine-023,How do I properly adjust the chest press machine seat and perform the press with good form?
chest-press-machine-023,What should I focus on to avoid locking out my elbows or lifting my back off the pad during the chest press machine exercise?
pec-deck-024,How do I perform the pec deck fly with proper form?
pec-deck-024,What muscles does the pec deck fly work?
reverse-fly-025,How do I keep my back flat and avoid using momentum during reverse dumbbell flyes?
reverse-fly-025,What muscles should I feel working when performing the reverse dumbbell fly?
lateral-raise-026,How do I perform dumbbell lateral raises with proper form to target my shoulders?
lateral-raise-026,What are common mistakes to avoid during dumbbell lateral raises?
front-squat-027,How do I keep my elbows up and chest upright during a front squat?
front-squat-027,What muscles does the front squat work and how should my feet be positioned?
deadlift-028,How do I keep my back flat and brace my core correctly during a conventional deadlift?
deadlift-028,What are the proper steps to lift and lower the barbell safely in a conventional deadlift?
kettlebell-swing-029,What is the correct way to perform a kettlebell swing with proper hip hinge and kettlebell movement?
kettlebell-swing-029,Which muscle groups does the kettlebell swing primarily work?
walking-lunge-030,How do I perform a walking lunge with proper form?
walking-lunge-030,Which muscles does a walking lunge work?
step-up-031,How do I do step-ups with dumbbells safely and avoid using too much momentum?
step-up-031,What muscles do step-ups work and how high should the bench be?
hip-thrust-032,How do I perform a barbell hip thrust with proper form?
hip-thrust-032,What muscles does the barbell hip thrust work?
cable-pallof-press-033,How do I perform a Pallof press correctly on a cable machine?
cable-pallof-press-033,What muscles does the Pallof press work?
face-pull-034,How do I perform a cable face pull with proper form to target my rear delts and upper back?
face-pull-034,What are the most common mistakes to avoid when doing cable face pulls?
tricep-pushdown-035,How do I properly do a cable triceps pushdown without moving my upper arms?
tricep-pushdown-035,What attachment and form should I use for cable triceps pushdowns to target the triceps?
ab-crunch-machine-036,How do I properly use the ab crunch machine to target my core?
ab-crunch-machine-036,What are common mistakes to avoid when doing ab crunches on the machine?
assault-bike-sprints-037,How long should each Assault Bike sprint interval be for a beginner?
assault-bike-sprints-037,How do I maintain proper form and posture during Assault Bike sprints?
rower-038,How do I maintain proper rowing form and sequence during a rowing machine row?
rower-038,"Which muscles does the rowing machine row work, and how should I drive the movement?"
treadmill-incline-walk-039,How do I adjust the treadmill speed and incline for a beginner-friendly incline walk?
treadmill-incline-walk-039,What should I focus on to maintain good form during a treadmill incline walk?
jump-rope-040,How do I jump rope with proper form to avoid injuries?
jump-rope-040,What muscles does jump rope work and how can I make it more challenging?
box-jump-041,How do I perform a box jump safely with proper landing mechanics?
box-jump-041,What muscles does the box jump work and how can I make it easier or harder?
medicine-ball-slam-042,How do I perform a medicine ball slam with proper form and power?
medicine-ball-slam-042,What muscles does the medicine ball slam work most?
battle-rope-043,How do I perform battle rope waves with proper form and breathing?
battle-rope-043,"What muscles does battle rope waves work, and how can I make the exercise more challenging?"
farmer-carry-044,How heavy should the dumbbells or kettlebells be for Farmer's Carry?
farmer-carry-044,How far or how long should I walk during Farmer's Carry?
suitcase-carry-045,How heavy should the dumbbell or kettlebell be for a suitcase carry?
suitcase-carry-045,How do I keep my torso from leaning while doing a suitcase carry?
single-leg-romanian-deadlift-046,How do I keep my hips square and back flat during a single-leg Romanian deadlift?
single-leg-romanian-deadlift-046,What should I do if I lose balance while performing single-leg Romanian deadlifts with dumbbells?
bulgarian-split-squat-047,How do I keep my balance and torso upright during Bulgarian split squats?
bulgarian-split-squat-047,"How low should I go in a Bulgarian split squat, and how do I know if I’m using the right front-leg form?"
arnold-press-048,How do I do the Arnold press with proper form using dumbbells?
arnold-press-048,Which muscles does the Arnold press work?
incline-dumbbell-curl-049,How do I keep my upper arms still during incline dumbbell curls?
incline-dumbbell-curl-049,What should I do if I feel the exercise more in my shoulders than my biceps?
back-extension-050,How do I perform a back extension on a Roman chair with proper form and without overextending?
back-extension-050,"Which muscles does the back extension exercise target, and how should I set up on the machine?"
